combinations,questions,avg_rating,quest_comb_id,model
"(26, 13, 0)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,3,0,0
"(26, 13, 1)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,1,0
"(26, 13, 2)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,3,2,0
"(26, 13, 3)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,1,3,0
"(26, 13, 4)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,1,4,0
"(26, 13, 5)",What ideas have you got on how to improve your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,3,5,0
"(26, 14, 0)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in hopeful?,3,6,0
"(26, 14, 1)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,7,0
"(26, 14, 2)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?,4,8,0
"(26, 14, 3)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in hopeful?,1,9,0
"(26, 14, 4)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this hopeful?,4,10,0
"(26, 14, 5)",What ideas have you got on how to improve your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,11,0
"(26, 15, 0)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in hopeful?,2,12,0
"(26, 15, 1)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,13,0
"(26, 15, 2)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?,1,14,0
"(26, 15, 3)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in hopeful?,0,15,0
"(26, 15, 4)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this hopeful?,1,16,0
